"Accession"	"Species"	"Length"	"Sequence_Type"	"Host"	"Collection_Date"	"Country.1"	"Country.2"
"1"	"KT336433"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"1991"	Zimbabwe	
"2"	"KT336434"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"1992"	Zimbabwe	
"3"	"KT336435"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"1993"	Zimbabwe	
"4"	"KX148254"	"Rabies lyssavirus"	11802	"GenBank"	"Canis lupus familiaris"	"2001"	Viet Nam	
"5"	"KF154996"	"Rabies lyssavirus"	11928	"GenBank"	"Homo sapiens"	"1987"	United Kingdom	
"6"	"KF154999"	"Rabies lyssavirus"	11924	"GenBank"	"Canis lupus familiaris"	"2008"	United Kingdom	
"7"	"KX148171"	"Rabies lyssavirus"	11801	"GenBank"	"Canidae"	"1991"	United Arab Emirates	
"8"	"LC029889"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2009"	Uganda	
"9"	"MF143312"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Yates, Orleans, NY
"10"	"MN418179"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Woodstock, VT
"11"	"MF143327"	"Rabies lyssavirus"	11939	"GenBank"	"Felis catus"	"2011"	USA	 Wolcott, Wayne, NY
"12"	"MF143410"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Winooski, Chittenden, VT
"13"	"MF143411"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Winooski, Chittenden, VT
"14"	"MF143198"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 Windham, Cumberland, ME
"15"	"MF143200"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Windham, Cumberland, ME
"16"	"MF143285"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Williston, Chittenden, VT
"17"	"MF143395"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2009"	USA	 Williston, Chittenden, VT
"18"	"MF143401"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 Williston, Chittenden, VT
"19"	"MF143299"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Williamson, Wayne, NY
"20"	"MF143336"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2003"	USA	 Wheatfield, Niagara, NY
"21"	"MF143323"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Wethersfield, Wyoming, NY
"22"	"MN418160"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Weston, CT
"23"	"MN418181"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2016"	USA	 Weston, CT
"24"	"MN418144"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Westerlo, NY
"25"	"MF143192"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Wells, York, ME
"26"	"MF143258"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Watertown, Jefferson, NY
"27"	"MF143330"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2011"	USA	 Water, Jefferson, NY
"28"	"MN418184"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Washington, ME
"29"	"MF143204"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 Waldo, Waldo, ME
"30"	"MN418175"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Vergennes, VT
"31"	"MN418171"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2018"	USA	 Upper Saddle River, NJ
"32"	"MN418168"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitis mephitis"	"2017"	USA	 Troy, NY
"33"	"MN418153"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Tarrytown, NY
"34"	"MF143384"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Swanton, Franklin, VT
"35"	"MF143283"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 Stowe, Lamoille, VT
"36"	"MF143289"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 Stowe, Lamoille, VT
"37"	"MF143375"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2006"	USA	 Stowe, Lamoille, VT
"38"	"MF143377"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2006"	USA	 Stowe, Lamoille, VT
"39"	"MF143206"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Stow, Oxford, ME
"40"	"MF143292"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2003"	USA	 Sterling, Cayuga, NY
"41"	"MF143301"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Sterling, Cayuga, NY
"42"	"MF143306"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2004"	USA	 Sterling, Cayuga, NY
"43"	"MF143307"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2004"	USA	 Sterling, Cayuga, NY
"44"	"MF143317"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Sterling, Cayuga, NY
"45"	"MF143374"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2006"	USA	 St. Johnsbury, Caledonia, VT
"46"	"MF143379"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 St. Albans City, Franklin, VT
"47"	"MF143205"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Southport Island, Lincoln, ME
"48"	"MF143207"	"Rabies lyssavirus"	11939	"GenBank"	"Urocyon cinereoargenteus"	"2013"	USA	 South Portland, Cumberland, ME
"49"	"MF143393"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2009"	USA	 South Hero, Grand Isle, VT
"50"	"MF143339"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 South Burlington, Chittenden, VT
"51"	"MF143376"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2006"	USA	 South Burlington, Chittenden, VT
"52"	"MF143408"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 South Burlington, Chittenden, VT
"53"	"MN418161"	"Rabies lyssavirus"	11925	"GenBank"	"Lontra canadensis"	"2017"	USA	 Sound Beach, NY
"54"	"MF143304"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Sodus, Wayne, NY
"55"	"MN418167"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2017"	USA	 Slate Hill, NY
"56"	"MF143196"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2013"	USA	 Skowhegan, Somerset, ME
"57"	"MF143211"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 Sidney, Kennebec, ME
"58"	"MF143218"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2014"	USA	 Sidney, Kennebec, ME
"59"	"MF143313"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Sherman, Chautauqua, NY
"60"	"MF143383"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Sheldon, Franklin, VT
"61"	"MF143389"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2007"	USA	 Sheldon, Franklin, VT
"62"	"MF143400"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2009"	USA	 Shelburne, Chittenden, VT
"63"	"MF143396"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2009"	USA	 Sheffield, Caledonia, VT
"64"	"MN418154"	"Rabies lyssavirus"	11925	"GenBank"	"Felis catus"	"2017"	USA	 Sea Cliff, NY
"65"	"MF143296"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2004"	USA	 Scriba, Oswego, NY
"66"	"MF143212"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 Scarborough, Cumberland, ME
"67"	"MF143335"	"Rabies lyssavirus"	11939	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	 Sandy Creek, Oswego, NY
"68"	"MF143294"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2003"	USA	 Ridgeway, Orleans, NY
"69"	"MN418151"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2016"	USA	 Ridgefield, CT
"70"	"MN418163"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2016"	USA	 Ridgefield, CT
"71"	"MF143219"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2014"	USA	 Richmond, Sagadahoc, ME
"72"	"MN418170"	"Rabies lyssavirus"	11925	"GenBank"	"Felis catus"	"2017"	USA	 Providence, RI
"73"	"MF143284"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 Pownal, Bennington, VT
"74"	"MF143320"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Porter, Niagara, NY
"75"	"MN418173"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2018"	USA	 Plymouth, MA
"76"	"MK540883"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1989"	USA	 Pennsylvania
"77"	"MK540884"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1989"	USA	 Pennsylvania
"78"	"MK540885"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1989"	USA	 Pennsylvania
"79"	"MK540886"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1989"	USA	 Pennsylvania
"80"	"MF143280"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2006"	USA	 Panton, Addison, VT
"81"	"MF143319"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2010"	USA	 Oswego City, Oswego, NY
"82"	"MF143305"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2004"	USA	 Oswego C., Oswego, NY
"83"	"MF143315"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2010"	USA	 Orchard Parl, Erie, NY
"84"	"MF143333"	"Rabies lyssavirus"	11939	"GenBank"	"Felis catus"	"2011"	USA	 Ontario, Wayne, NY
"85"	"MF143214"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2014"	USA	 Old Town, Penobscot, ME
"86"	"MF143213"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2014"	USA	 North Yarmouth, Cumberland, ME
"87"	"MF143385"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2007"	USA	 North Hero, Grand Isle, VT
"88"	"MF143318"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2014"	USA	 Niagra, Niagara, NY
"89"	"MF143300"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Niagara Falls, Niagara, NY
"90"	"MF143302"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2004"	USA	 Newstead, Erie, NY
"91"	"MK540658"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"92"	"MK540659"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"93"	"MK540660"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"94"	"MK540661"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"95"	"MK540662"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"96"	"MK540663"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"97"	"MK540664"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"98"	"MK540665"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"99"	"MK540666"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"100"	"MK540667"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"101"	"MK540668"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"1990"	USA	 New York
"102"	"MK540669"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"1990"	USA	 New York
"103"	"MK540670"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"104"	"MK540671"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"105"	"MK540672"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"106"	"MK540673"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"107"	"MK540674"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"108"	"MK540675"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"109"	"MK540676"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"110"	"MK540677"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1990"	USA	 New York
"111"	"MK540678"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1991"	USA	 New York
"112"	"MK540679"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1991"	USA	 New York
"113"	"MK540680"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1991"	USA	 New York
"114"	"MK540681"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1991"	USA	 New York
"115"	"MK540682"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1992"	USA	 New York
"116"	"MK540683"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1992"	USA	 New York
"117"	"MK540684"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1992"	USA	 New York
